currentLevel,measuredDistance,referenceLevel,id,observationDateTime
1.04,14.86,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 18:15:00.0
0.98,14.92,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 18:00:00.0
1.05,14.85,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 19:00:00.0
1.01,14.89,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 22:30:00.0
1.01,14.89,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 23:00:00.0
1.01,14.89,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 23:15:00.0
1.01,14.89,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 22:45:00.0
1.01,14.89,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 23:30:00.0
1.05,14.85,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 00:00:00.0
1.02,14.88,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 00:15:00.0
1.04,14.86,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 00:30:00.0
1.02,14.88,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 23:45:00.0
1.02,14.88,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 04:15:00.0
1.02,14.88,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 04:30:00.0
1.03,14.87,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 05:00:00.0
0.99,14.91,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 03:30:00.0
0.98,14.92,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 05:15:00.0
1.01,14.89,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 03:15:00.0
1.02,14.88,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 04:15:00.0
1.01,14.89,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 03:15:00.0
0.98,14.92,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 04:00:00.0
1.01,14.89,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 08:30:00.0
1.05,14.85,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 08:15:00.0
1.05,14.85,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 08:15:00.0
0.98,14.92,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 07:30:00.0
1.05,14.85,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 09:30:00.0
1.1,14.8,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 09:00:00.0
1.07,14.83,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 09:15:00.0
1.07,14.83,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 09:15:00.0
1.02,14.88,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 08:00:00.0
1.08,14.82,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 13:30:00.0
1.08,14.82,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 12:30:00.0
1.11,14.79,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 13:15:00.0
1.08,14.82,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 14:15:00.0
1.04,14.86,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 12:15:00.0
1.04,14.86,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 12:15:00.0
1.11,14.79,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 13:15:00.0
1.08,14.82,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 13:00:00.0
1.08,14.82,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 14:00:00.0
1.02,14.88,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 18:15:00.0
1.05,14.85,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 18:30:00.0
1.04,14.86,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 17:30:00.0
1.02,14.88,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 17:15:00.0
1.07,14.83,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 16:30:00.0
1.02,14.88,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 18:00:00.0
1.02,14.88,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 18:15:00.0
1.02,14.88,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 17:15:00.0
1.08,14.82,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 17:00:00.0
1.03,14.87,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 23:15:00.0
1.0,14.9,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 22:15:00.0
1.04,14.86,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 21:45:00.0
1.03,14.87,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 23:00:00.0
1.04,14.86,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 22:30:00.0
1.04,14.86,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 21:15:00.0
1.04,14.86,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 22:00:00.0
1.02,14.88,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 21:30:00.0
1.05,14.85,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-12 22:45:00.0
1.13,14.77,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-13 03:15:00.0
1.11,14.79,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-13 03:30:00.0
1.14,14.76,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-13 02:00:00.0
1.08,14.82,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-13 03:00:00.0
